"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1144469245,"SOCIÉTÉ D'HISTOIRE DE STE-ANNE-DE-LA-PÉRADE","440 rang du Rapide S","Sainte-Anne-de-la-Pérade (Québec)",NA,"G0X2J0","DIFFUSION DE L'HISTOIRE, CONSERVATION ET PROTECTION DU PATRIMOINE","APE",46.611349,-72.205066
1144470128,"LES RESIDENCES ST-JEAN-DE-BREBEUF INC.","1401 rue De La Terrière","Trois-Rivières (Québec)",NA,"G8Z3J7","ADMINISTRE UN IMMEUBLE À LOGEMENTS","APE",46.349198,-72.567558
1144512606,"COOPÉRATIVE D'UTILISATION DE MACHINERIE AGRICOLE DES RIVIÈRES","2411 ch. Saint-Thomas","Sainte-Thècle (Québec)",NA,"G0X3G0","ACQUÉRIR, POSSÉDER, ENTRETENIR DU MATÉRIEL DE LA MACHINERIE ET DE L'ÉQUIPEMENT AGRICOLE","COP",46.804327,-72.465105
1144513083,"COOPERATIVE D'AQUEDUC DU BOIS-BLANC","471 rte du Bois-Blanc","Saint-Justin (Québec)",NA,"J0K2V0","SERVICE D'EAU POTABLE","COP",46.235963,-73.111701
1144471183,"FONDATION DE L'UNIVERSITÉ DU QUÉBEC À TROIS-RIVIÈRES","3351, BOULEVARD DES FORGES, C.P. 500","TROIS-RIVIÈRES (QUÉBEC)",NA,"G9A5H7","FONDATION","APE",46.348038,-72.57778
1144473072,"SOCIETE HISTORIQUE DE CHAMPLAIN INC.","498 rue Notre-Dame","Champlain (Québec)",NA,"G0X1C0","INFORMATIONS SUR LE PATRIMOINE ET L'HISTOIRE DE CHAMPLAIN AUX ABONNÉS","APE",46.423517,-72.377946
1144492882,"SOCIETE SAINT-JEAN-BAPTISTE LOCALE DE SAINT-LEON-LE GRAND, COMTE DE MASKINONGE","1600 rang de l'Isle","Saint-Léon-le-Grand (Québec)",NA,"J0K2W0","PROMOTION DE LA LANGUE DE NOS COUTUMES QUÉBÉCOISES, SOIRÉE CULTURELLES, ETC","APE",46.313531,-72.935098
1144493302,"Les auxiliaires bénévoles du Centre de santé et de services sociaux du Haut-Saint-Maurice","885 boul. Ducharme","La Tuque (Québec)",NA,"G9X3C1","DIVERTISSEMENTS DES USAGERS DU C. HOSPITALIER VOIR À LEUR MIEUX ÊTRE","APE",47.428524,-72.78627
1144457018,"CLUB DE CANOË-KAYAK DE VITESSE DE TROIS-RIVIÈRES","1005 ch. de l'Île-Saint-Christophe","Trois-Rivières (Québec)",NA,"G8T0A3","ENCADRER LES ACTIVITÉS DE CANOTAGE À CAP DE LA MADELEINE","APE",46.360142,-72.532234
1144676526,"GUID'AMIES LE ROCHER INC.","1470 13e Avenue","Shawinigan (Québec)",NA,"G9T1L9","DÉVELOPPEMENT ET FORMATION DES JEUNES FILLES SELON LES PRINC. DU GUIDISME","APE",46.611197,-72.70816
1144694164,"LES CHEVALIERS DE COLOMB DE L'ASSEMBLÉE MGR LAFLÈCHE, 1044","3818 av. Cyprien-Ducharme","Shawinigan (Québec)",NA,"G9P5E7","ACTIVITÉS SOCIALES, COMMUNAUTAIRES ET RELIGIEUSES","APE",46.510265,-72.731565
1144657518,"ASSOCIATION DES TRAUMATISÉS CRANIO-CÉRÉBRAUX MAURICIE/CENTRE-DU-QUÉBEC","430 rue Saint-Laurent","Trois-Rivières (Québec)",NA,"G8T6H3","SOUTIEN, RÉFÉRENCE, DÉFENSE DES DROITS INTÉGRATION SOCIAL","APE",46.374865,-72.530056
1144677805,"SYNDICAT CANADIEN DE LA FONCTION PUBLIQUE, SECTION LOCALE 968 (FTQ)","105 av. Saint-Laurent","Louiseville (Québec)",NA,"J5V1J6","ÉTUDE, DÉFENSE ET DÉVELOPPEMENT DES INTÉRÊTS ÉCONOMIQUES, SOCIAUX ET MOR...","APE",46.255694,-72.942428
1144659456,"ASSOCIATION DE PROTECTION DU LAC TROTTIER","130 ch. du Lac-Trottier","Saint-Tite (Québec)",NA,"G0X3H0","VOIE À LA PROTECTION DU LAC TROTTIER. C'EST UN ORGANISME À BUT NON LUCRATIF","APE",46.769287,-72.553148
1144680486,"CENTRE DE LA PETITE ENFANCE LA MAISONNÉE","108-1800 rue Saint-Paul","Trois-Rivières (Québec)",NA,"G9A1J7","SERVICE DE GARDE D'ENFANTS","APE",46.352001,-72.542584
